collected_frames,train/mean_reward,train/epsilon,train/replay_buffer_size,train/q_network_lr,train/loss,train/grad_norm,train/q_mean,train/target_q_mean,train/extrinsic_reward_mean,train/icm_loss_forward,train/icm_loss_inverse,train/icm_intrinsic_reward_mean
9568256,,,,,0.056311216205358505,0.0358295701444149,0.7783089876174927,0.7189799547195435,-0.0385226309299469,0.00372308655641973,1.7986098527908325,0.0037324598524719477
9699328,0.021812597289681435,0.8744642857142857,8000000,0.00048678571428571374,,,,,,,,
9699328,,,,,0.0014617888955399394,0.01789853908121586,0.7660053968429565,0.7708499431610107,0.021995998919010162,0.0024687801487743855,1.7697629928588867,0.002466362901031971
9830400,0.015569083392620087,0.8727678571428572,8000000,0.0004866071428571423,,,,,,,,
9830400,,,,,0.10763861984014511,0.11199759691953659,0.7755075693130493,0.6544175148010254,-0.09581323713064194,0.010853282175958157,1.730896234512329,0.010872473008930683
9961472,-0.012955799698829651,0.8710714285714286,8000000,0.00048642857142857087,,,,,,,,
9961472,,,,,0.0025275631342083216,0.028114601969718933,0.7967234253883362,0.7946085929870605,0.020263927057385445,0.0024011500645428896,1.726792335510254,0.002390280831605196
10092544,0.012029715813696384,0.869375,8000000,0.0004862499999999995,,,,,,,,
10092544,,,,,0.0013375049456954002,0.025299688801169395,0.7909589409828186,0.7964708209037781,0.019461698830127716,0.003259724471718073,1.813356876373291,0.003243411425501108
10223616,-0.0001400960609316826,0.8676785714285714,8000000,0.00048607142857142805,,,,,,,,
10223616,,,,,0.1031234934926033,0.02605719491839409,0.7819938659667969,0.7892343997955322,0.025204535573720932,0.01438481081277132,1.82387375831604,0.014371806755661964
10354688,-0.0005594412796199322,0.8659821428571428,8000000,0.0004858928571428566,,,,,,,,
10354688,,,,,0.08590881526470184,0.07852235436439514,0.826972246170044,0.7308347225189209,-0.08966454118490219,0.020973343402147293,1.8189493417739868,0.02089173160493374
10485760,0.005095544271171093,0.8642857142857143,8000000,0.0004857142857142852,,,,,,,,
10485760,,,,,0.007438951637595892,0.02029365673661232,0.808216392993927,0.813789963722229,0.018239963799715042,0.008428218774497509,1.7470331192016602,0.008421486243605614
10616832,-0.007322574965655804,0.8625892857142857,8000000,0.00048553571428571374,,,,,,,,
10616832,,,,,0.11841441690921783,0.04699232056736946,0.8279492259025574,0.7272483110427856,-0.1028653010725975,0.025332553312182426,1.9053325653076172,0.025217507034540176
10747904,0.021598152816295624,0.8608928571428571,8000000,0.0004853571428571423,,,,,,,,
10747904,,,,,0.046127814799547195,0.03463074564933777,0.7972705960273743,0.7531331777572632,-0.03211425244808197,0.007512855809181929,1.794684886932373,0.0075120022520422935
10878976,0.013428639620542526,0.8591964285714286,8000000,0.00048517857142857087,,,,,,,,
10878976,,,,,0.0014816583134233952,0.0217678714543581,0.804622232913971,0.8073117136955261,0.017862390726804733,0.0029324726201593876,1.703057885169983,0.002924629021435976
11010048,-0.015715226531028748,0.8575,8000000,0.00048499999999999943,,,,,,,,
11010048,,,,,0.005718321539461613,0.02131129428744316,0.8336982727050781,0.837988018989563,0.01966046914458275,0.008754805661737919,1.757928729057312,0.008734442293643951
11141120,0.009334264323115349,0.8558035714285714,8000000,0.000484821428571428,,,,,,,,
11141120,,,,,0.0018926061457023025,0.03310724347829819,0.8303967118263245,0.8262529373168945,0.019126955419778824,0.002423483645543456,1.7219940423965454,0.00242786668241024
11272192,-0.004820020403712988,0.8541071428571428,8000000,0.00048464285714285656,,,,,,,,
11272192,,,,,0.003840760327875614,0.08693785220384598,0.8566731214523315,0.842301607131958,0.018798254430294037,0.0031615726184099913,1.739222526550293,0.003114390652626753
11403264,0.0019066473469138145,0.8524107142857142,8000000,0.0004844642857142851,,,,,,,,
11403264,,,,,0.0957971066236496,0.02222025953233242,0.8303019404411316,0.7403956055641174,-0.0892583429813385,0.012993210926651955,1.927016019821167,0.012893189676105976
11534336,0.006784283556044102,0.8507142857142858,8000000,0.0004842857142857137,,,,,,,,
11534336,,,,,0.1584494262933731,0.05566099286079407,0.8266400694847107,0.9031690359115601,0.08376824110746384,0.012477444484829903,1.8139867782592773,0.012463076040148735
11665408,-0.007623676210641861,0.8490178571428572,8000000,0.00048410714285714225,,,,,,,,
11665408,,,,,0.10681629180908203,0.08620135486125946,0.8352225422859192,0.8571259379386902,0.021770257502794266,0.012032050639390945,1.8153178691864014,0.012026003561913967
11796480,0.01458041649311781,0.8473214285714286,8000000,0.00048392857142857086,,,,,,,,
11796480,,,,,0.05142945051193237,0.07033967226743698,0.8342449069023132,0.773352324962616,-0.03406382352113724,0.004085540305823088,1.846282720565796,0.00405074842274189
