collected_frames,train/mean_reward,train/mean_state_value,train/value_minus_reward,train/mean_advantage_GAE,train/mean_action_sample_log_prob,train/mean_critic_loss,train/mean_objective_loss,train/mean_entropy_loss,train/mean_entropy,train/mean_kl_approx,train/mean_clip_fraction,train/mean_advantage,train/std_advantage,train/total_grad_norm,train/policy_operator_lr,train/value_operator_lr,train/action_bonus_coef
13762560,-0.004656502511352301,-5.457279682159424,-5.4526231796480715,-0.32298779487609863,-3.4258475303649902,2.1020517349243164,-0.07583914697170258,-0.17121368646621704,3.4242734909057617,0.03569403663277626,0.356201171875,-0.32298779487609863,9.888465881347656,4.267812252044678,0.0004586851291864452,0.002193026551794512,2.967989983800126
13828096,0.0004830900579690933,-5.60338020324707,-5.603863293305039,-0.3985254764556885,-3.421156883239746,2.069667339324951,-0.07797984778881073,-0.16907870769500732,3.3815741539001465,0.0315234400331974,0.351318359375,-0.3985254764556885,10.053803443908691,8.991936683654785,0.0004585720597215677,0.0021924859536305527,2.967838375138958
13893632,0.0500122532248497,-2.750755548477173,-2.8007678017020226,-0.3231140971183777,-3.4307618141174316,3.1958134174346924,-0.06970401108264923,-0.1701132208108902,3.402264356613159,0.021156389266252518,0.3037109375,-0.3231140971183777,10.520990371704102,6.367565155029297,0.0004584589902566902,0.0021919453554665935,2.967686774222151
13959168,-0.015939699485898018,-6.569821357727051,-6.553881658241153,-0.9762597680091858,-3.409946918487549,1.7604315280914307,-0.08228752017021179,-0.17202690243721008,3.440537929534912,0.026403110474348068,0.38037109375,-0.9762597680091858,9.393521308898926,4.360527515411377,0.0004583459207918127,0.0021914047573026343,2.9675351810493096
14024704,-0.01138441450893879,-6.8760151863098145,-6.864630771800876,-0.2059338092803955,-3.4071388244628906,1.792957067489624,-0.08608926832675934,-0.16824927926063538,3.364985227584839,0.0314372293651104,0.4091796875,-0.2059338092803955,9.22938060760498,3.274085283279419,0.00045823285132693515,0.002190864159138675,2.9673835956200376
14090240,-0.004931221716105938,-6.294105529785156,-6.28917430806905,0.48772698640823364,-3.405318260192871,2.1083521842956543,-0.07698279619216919,-0.1698458343744278,3.396916627883911,0.03411403298377991,0.3603515625,0.48772698640823364,9.658050537109375,3.7165064811706543,0.0004581197818620576,0.002190323560974716,2.9672320179339406
14155776,0.0009790135081857443,-5.120945930480957,-5.121924943989143,-0.03826674818992615,-3.4126052856445312,2.1565890312194824,-0.08284428715705872,-0.1694658100605011,3.3893163204193115,0.0341448038816452,0.38232421875,-0.03826674818992615,9.666300773620605,7.918877601623535,0.0004580067123971801,0.002189782962810757,2.9670804479906216
14221312,0.06768648326396942,-1.4822572469711304,-1.5499437302350998,-0.1546802669763565,-3.423980236053467,3.108736038208008,-0.07659229636192322,-0.17172670364379883,3.4345340728759766,0.02467721700668335,0.3779296875,-0.1546802669763565,11.216004371643066,5.00413179397583,0.00045789364293230257,0.0021892423646467977,2.9669288857896867
14286848,-0.007524961605668068,-6.3727803230285645,-6.365255361422896,-0.6230863332748413,-3.3968515396118164,2.0859360694885254,-0.0832269936800003,-0.16946843266487122,3.3893682956695557,0.02601507492363453,0.363037109375,-0.6230863332748413,10.034815788269043,6.030172348022461,0.0004577805734674251,0.0021887017664828385,2.9667773313307397
14352384,-0.018424704670906067,-5.9599080085754395,-5.941483303904533,-0.16337427496910095,-3.393416404724121,2.0312857627868652,-0.07790517807006836,-0.16922256350517273,3.384451150894165,0.031716592609882355,0.3642578125,-0.16337427496910095,9.798012733459473,6.330056667327881,0.00045766750400254763,0.0021881611683188793,2.9666257846133846
