collected_frames,torque/flipper_torque_FL,torque/flipper_torque_FL_max,torque/flipper_torque_FL_min,torque/flipper_torque_FR,torque/flipper_torque_FR_max,torque/flipper_torque_FR_min,torque/flipper_torque_RL,torque/flipper_torque_RL_max,torque/flipper_torque_RL_min,torque/flipper_torque_RR,torque/flipper_torque_RR_max,torque/flipper_torque_RR_min,torque/flipper_contact_FL,torque/flipper_contact_FL_max,torque/flipper_contact_FR,torque/flipper_contact_FR_max,torque/flipper_contact_RL,torque/flipper_contact_RL_max,torque/flipper_contact_RR,torque/flipper_contact_RR_max
2818048,753.5108742713928,1000.0,3.7373236743733287,763.5016202926636,1000.0,4.20060096681118,756.6542963981628,1000.0,3.2113666757941246,760.917332649231,1000.0,3.480013370513916,0.7535108835436404,1.0,0.7635016380809247,1.0,0.756654302123934,1.0,0.7609173404052854,1.0
2883584,749.4152402877808,1000.0,3.6598645001649857,762.4361591339111,1000.0,4.154288396239281,753.0269570350647,1000.0,3.944325588643551,762.769280910492,1000.0,3.7552785873413086,0.7494152490980923,1.0,0.762436168268323,1.0,0.7530269720591605,1.0,0.762769291177392,1.0
2949120,749.5876913070679,1000.0,4.048222873359919,761.9956674575806,1000.0,4.163680545985699,754.1126737594604,1000.0,3.971707448363304,764.0369772911072,1000.0,4.129379920661449,0.7495877020992339,1.0,0.7619956834241748,1.0,0.7541126804426312,1.0,0.7640369865112007,1.0
3014656,748.8220353126526,1000.0,3.8899153023958206,761.0806565284729,1000.0,4.23212556540966,754.9880752563477,1000.0,3.9335776306688786,761.5053172111511,1000.0,3.169583512470126,0.7488220459781587,1.0,0.7610806706361473,1.0,0.7549880868755281,1.0,0.7615053243935108,1.0
3080192,749.1536283493042,1000.0,3.6422906294465065,760.7009210586548,1000.0,4.268889833241701,762.5935020446777,1000.0,4.052569262683392,761.7097687721252,1000.0,3.623012024909258,0.7491536433808506,1.0,0.76070093549788,1.0,0.7625935119576752,1.0,0.7617097790353,1.0
3145728,740.6124510765076,1000.0,3.927585020661354,757.5465211868286,1000.0,4.380858413875103,755.931999206543,1000.0,3.205511689186096,755.8383903503418,1000.0,4.544658434577286,0.7406124640256166,1.0,0.7575465338304639,1.0,0.7559320102445781,1.0,0.7558383964933455,1.0
3211264,738.3140859603882,1000.0,4.171696420758963,753.808810710907,1000.0,3.476732235401869,758.2262053489685,1000.0,3.6328567853197455,755.6986002922058,1000.0,4.215721203014255,0.7383140996098518,1.0,0.7538088196888566,1.0,0.7582262251526117,1.0,0.7556986114941537,1.0
3276800,735.5016250610352,1000.0,3.2358309403061867,752.1816101074219,1000.0,4.381612669676542,757.1636290550232,1000.0,4.5050279181450605,755.7814483642578,1000.0,3.967645777389407,0.7355016283690929,1.0,0.7521816189400852,1.0,0.7571636377833784,1.0,0.7557814600877464,1.0
3342336,739.8835215568542,1000.0,3.617447815835476,748.7861256599426,1000.0,3.2724201902747154,757.7369284629822,1000.0,4.1791372783482075,754.8965592384338,1000.0,3.595986658707261,0.7398835304193199,1.0,0.7487861360423267,1.0,0.7577369408681989,1.0,0.7548965686000884,1.0
3407872,755.4468092918396,1000.0,3.0774852260947227,752.6522755622864,1000.0,4.142949718981981,764.718602180481,1000.0,4.986534010618925,762.4978685379028,1000.0,4.142761912196875,0.7554468200542033,1.0,0.752652287017554,1.0,0.7647186135873199,1.0,0.7624978781677783,1.0
3473408,752.8095049858093,1000.0,3.7226153686642647,748.108588218689,1000.0,3.73393596149981,762.3671855926514,1000.0,4.6763013787567616,758.3090329170227,1000.0,4.020080033689737,0.7528095212765038,1.0,0.7481086030602455,1.0,0.7623671926558018,1.0,0.7583090425468981,1.0
3538944,748.5476140975952,1000.0,3.1330896951258183,749.4067282676697,1000.0,3.3559402003884315,760.6104040145874,1000.0,3.7342720702290535,754.486584186554,1000.0,3.064418204128742,0.7485476271249354,1.0,0.7494067419320345,1.0,0.7606104165315628,1.0,0.7544865943491459,1.0
3604480,752.2761378288269,1000.0,4.188257306814194,742.9497747421265,1000.0,3.907291751354933,756.6125082969666,1000.0,3.805252306163311,756.9442024230957,1000.0,3.839801110327244,0.7522761472500861,1.0,0.742949784733355,1.0,0.7566125234588981,1.0,0.75694421492517,1.0
3670016,749.6636576652527,1000.0,3.9092171248048544,739.4849672317505,1000.0,3.5196873992681503,754.4452829360962,1000.0,3.7267133072018623,754.2420282363892,1000.0,4.00567564368248,0.7496636733412743,1.0,0.7394849797710776,1.0,0.7544452925212681,1.0,0.7542420346289873,1.0
3735552,752.0478463172913,1000.0,3.560740776360035,742.5822539329529,1000.0,3.4010327886790037,756.0323023796082,1000.0,3.6139413937926292,762.5567054748535,1000.0,3.8587941750884056,0.7520478582009673,1.0,0.7425822634249926,1.0,0.7560323094949126,1.0,0.7625567191280425,1.0
3801088,742.5754280090332,1000.0,3.4392955154180527,743.0866851806641,1000.0,3.5956435203552246,747.6080875396729,1000.0,3.5343498550355434,753.9259467124939,1000.0,4.304152838885784,0.7425754345022142,1.0,0.7430866938084364,1.0,0.7476080935448408,1.0,0.7539259609766304,1.0
