collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
3342336,0.17335479124449193,-0.08000000000000006,-0.07135299959918484,0.0,-0.0025249888058169745,0.0,-0.07343197759473696,0.0,0.0,0.0,1.168952763080597,0.0025177001953125,60.0,-15.0,7.62939453125e-05,0.0001373291015625,1.1173613569699228
3407872,0.3324361976701766,-0.08000000000000006,-0.05323054429027252,0.0,-0.0018182993671871372,0.0,-0.03274152908124961,0.0,0.0,0.0,1.119984423276037,0.003204345703125,60.0,-15.0,6.103515625e-05,3.0517578125e-05,1.2877963408827782
3473408,0.24463164154440165,-0.08000000000000006,-0.06709870835766196,0.0,-0.0014925866184967163,0.0,-0.051942438090918586,0.0,0.0,0.0,1.173311274498701,0.0034332275390625,60.0,-15.0,7.62939453125e-05,7.62939453125e-05,1.2207478862255812
3538944,0.2119719429174438,-0.08000000000000006,-0.0643645470845513,0.0,-0.002315374121280911,0.0,-0.05938857060391456,0.0,0.0,0.0,1.1799061857163906,0.00732421875,60.0,-15.0,0.0001373291015625,6.103515625e-05,1.1930594108998775
3604480,0.19141682528425008,-0.08000000000000006,-0.06052066519623622,0.0,-0.00307963166051195,0.0,-0.06454616162227467,0.0,0.0,0.0,1.1889973357319832,0.0102996826171875,60.0,-15.0,0.0002288818359375,0.0002288818359375,1.182296690531075
3670016,0.18002165493089706,-0.08000000000000006,-0.054595148540101945,0.0,-0.0033707663787936326,0.0,-0.06797823240049183,0.0,0.0,0.0,1.177380277775228,0.0176239013671875,60.0,-15.0,0.0003509521484375,0.0002288818359375,1.1688154302537441
3735552,0.2903409614227712,-0.08000000000000006,-0.04154802609991748,0.0,-0.00040640129108204803,0.0,-0.04439922297024168,0.0,0.0,0.0,1.1378206489607692,0.0180816650390625,60.0,-15.0,0.0003204345703125,7.62939453125e-05,1.2797932345420122
3801088,0.23059141857083887,-0.08000000000000006,-0.04819225030951202,0.0,-0.001309421651512821,0.0,-0.05405525260721333,0.0,0.0,0.0,1.1700038444250822,0.01373291015625,60.0,-15.0,0.000244140625,6.103515625e-05,1.2306994209066033
3866624,0.21004750207066536,-0.08000000000000006,-0.04601392030599527,0.0,-0.002218238212662982,0.0,-0.059476612630533054,0.0,0.0,0.0,1.1715452717617154,0.00732421875,60.0,-15.0,0.000152587890625,0.0001220703125,1.2010616986081004
3932160,0.19285596394911408,-0.08000000000000006,-0.04640698985895142,0.0,-0.0019239895764258108,0.0,-0.06428742982097901,0.0,0.0,0.0,1.1594259818084538,0.010528564453125,60.0,-15.0,0.000213623046875,0.000152587890625,1.170020212419331
