collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
21757952,-0.0006332436423690524,-9.204647582805592e-05,-0.0030364990234375,-0.003761736139495042
21889024,-0.0006719052339576592,-7.936594809621056e-05,-0.00128173828125,-0.0020329822054918623
22020096,-0.0007699655780015746,-0.00010818538663670552,0.0001068115234375,-0.0007713394597885781
22151168,-0.0005926054227529676,-9.738349558574555e-05,-0.00250244140625,-0.0031924256754791713
22282240,-0.0008839047236506303,-4.528076104293177e-05,-0.0036468505859375,-0.0045749037158202555
22413312,-0.0007069525076985883,-3.668474192153326e-05,-0.00177001953125,-0.002513464091862261
22544384,-0.0006696055393149436,-5.595705057714895e-05,-0.00421142578125,-0.0049367670699211885
22675456,-0.0005545394355976896,-3.480999782823346e-05,-0.0041046142578125,-0.004693905767453543
22806528,-0.0005562607207139081,-2.9983473467609656e-05,-0.0021514892578125,-0.0027376796028875106
22937600,-0.0004758386339744902,-4.682578079950872e-05,-0.003448486328125,-0.003971106332528507
23068672,-0.0006651737401170976,-9.901941325551888e-05,-0.0027008056640625,-0.0034649858148441126
23199744,-0.0008391666497118422,-0.0002724765187167577,-0.00482177734375,-0.005933011293109303
23330816,-0.0007539638590969844,-3.4922236487489045e-05,-0.0008392333984375,-0.0016280814404581179
23461888,-0.0007392042762148776,-3.2416850075378534e-05,-0.001739501953125,-0.0025109189750764926
23592960,-0.0005436678811747697,-2.4493791563884315e-05,-0.0066070556640625,-0.007175147735324572
23724032,-0.0006511423348456447,-2.4232179228533823e-05,-0.0025634765625,-0.003238688259898481
23855104,-0.0006417210029212583,-2.409004936509973e-05,-0.0057220458984375,-0.006387776964857039
23986176,-0.0007652909603166336,-6.749230001901196e-05,-0.0025634765625,-0.0033961712638301833
24117248,-0.0007362016613114974,-7.088922134812492e-05,-0.0010528564453125,-0.0018598029314489395
24248320,-0.0008204241466955864,-0.0001655533337441284,-0.0058746337890625,-0.00686023784101053
24379392,-0.0008615667134108662,-0.00016740252505087483,-0.0019378662109375,-0.002966263741200237
24510464,-0.0007632177735104051,-6.851659298945378e-05,-0.00250244140625,-0.003333801366352418
24641536,-0.0005163426008039096,-4.00237892961286e-05,-0.004150390625,-0.004706662956323271
24772608,-0.0004560210888939764,-4.816503577842468e-05,-0.0023345947265625,-0.002838766132526871
24903680,-0.0005672557001616951,-7.306077486646245e-05,-0.0013580322265625,-0.0019982419939879037
25034752,-0.0008630946258563199,-0.00035974878665001597,-0.004425048828125,-0.005647542642236658
25165824,-0.0007621058484801324,-0.00019438131593574326,-0.0028533935546875,-0.003809776992056868
25296896,-0.0006615481784137955,-2.0927883646493228e-05,-0.003082275390625,-0.0037647462727363745
25427968,-0.000855907352615759,-0.00011811829455155021,-0.0035858154296875,-0.004558815135169425
25559040,-0.0006917214350323775,-4.9389727465154465e-05,-0.0025177001953125,-0.003258443119648291
25690112,-0.0007339903177125962,-2.5438393770116363e-05,-0.003753662109375,-0.004512959274961759
25821184,-0.000701932596257393,-4.9004966868437805e-05,-0.004852294921875,-0.005603162527222594
25952256,-0.0008204735399885976,-0.00016479776650157874,-0.00335693359375,-0.004342052837728261
26083328,-0.000832739407542249,-0.00010600536710114739,-0.0047149658203125,-0.005653446163250919
26214400,-0.0007755571550660534,-3.7006845246878584e-05,-0.0023345947265625,-0.003146951180497126
26345472,-0.0007427574155371985,-1.9088306338232996e-05,-0.0037384033203125,-0.004500173672568053
26476544,-0.0006656165846834483,-9.823320917234923e-05,-0.001129150390625,-0.001892851817956398
26607616,-0.0006849502751720138,-8.1659034947279e-05,-0.0015106201171875,-0.0022771001440560212
26738688,-0.0007130849253371707,-2.9293130957341873e-05,-0.0054168701171875,-0.006159156252579123
26869760,-0.0007603201843267016,-5.9543092106650874e-05,-0.0032196044921875,-0.004039384623411024
27000832,-0.0007090875665198837,-5.3561578269523125e-05,-0.00433349609375,-0.005096103804589802
27131904,-0.0007273339188031969,-5.488946784737436e-05,-0.0039825439453125,-0.004764640030316514
27262976,-0.0008164891496562632,-9.776853414678044e-05,-0.0016326904296875,-0.002546836489273119
27394048,-0.0008650577533444448,-0.0002764613753925005,-0.0047607421875,-0.005902166150917765
27525120,-0.0008700307876097213,-9.431863614395297e-05,-0.0034027099609375,-0.004366006645341258
27656192,-0.00066832789025284,-4.154210159867944e-05,-0.002197265625,-0.0029068683325021993
27787264,-0.0007831108068785397,-0.00010270061108030859,-0.0037384033203125,-0.004623997595444962
27918336,-0.0009281487259613641,-0.0004243980606588593,-0.0044708251953125,-0.005822828824420867
28049408,-0.000882310255747143,-0.00023539863946098194,-0.0035400390625,-0.004657487716485775
28180480,-0.0007582560206174094,-2.8286490987738944e-05,-0.0036163330078125,-0.004402785511047114
28311552,-0.0007974998839017644,-2.3816727470205024e-05,-0.003021240234375,-0.0038423939931817586
28442624,-0.0007826327732800564,-3.0469917554398762e-05,-0.0047454833984375,-0.005558356596338854
28573696,-0.000878344575085066,-8.565739420873797e-05,-0.0016326904296875,-0.002596296850242652
28704768,-0.0007975817788974382,-5.424283870070212e-05,-0.00274658203125,-0.00359800074420491
28835840,-0.0006713900652357552,-4.533614576018863e-05,-0.005279541015625,-0.005996136677822506
28966912,-0.0007984296753420494,-7.046549174560823e-05,-0.002960205078125,-0.003829059302006499
29097984,-0.0007334180909310817,-7.171015866447306e-05,-0.0040130615234375,-0.004818142389922286
29229056,-0.0006446961360779824,-2.9575750318144856e-05,-0.0026702880859375,-0.003344474439472833
29360128,-0.0007317100657928677,-2.6470653267551825e-05,-0.002593994140625,-0.0033520825063533266
29491200,-0.0007400581462206901,-3.314613768878871e-05,-0.004669189453125,-0.0054423228111772914
29622272,-0.0005821692229801556,-2.524407570092535e-05,-0.0009307861328125,-0.0015381194743895321
29753344,-0.0006547616608258977,-2.576821236033311e-05,-0.0005340576171875,-0.0012145465288995183
29884416,-0.0005861656729848619,-4.480899636405411e-05,-0.005157470703125,-0.005788427210291047
30015488,-0.0005793058644485427,-4.019341327676784e-05,-0.0027313232421875,-0.0033506935824334505
30146560,-0.0007049965379337664,-3.431636128681248e-05,-0.0036773681640625,-0.00441650737548116
30277632,-0.0007649044468962529,-7.315310864441926e-05,-0.0037689208984375,-0.004606782473274507
