attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
3,22085632,3.560249856,3.695181824,6.782352384
3,22151168,3.562618368,3.735027712,6.7835264
3,22216704,3.559476224,3.670016,6.7835264
3,22282240,3.558571008,3.672113152,6.7835264
3,22347776,3.561887232,3.693084672,6.7835264
3,22413312,3.559171584,3.670016,6.7835264
3,22478848,3.562358272,3.69098752,6.7835264
4,22085632,3.823523328,3.97410304,5.37816064
4,22151168,3.821157888,3.999268864,6.777421312
4,22216704,3.82278656,3.976200192,6.779009024
4,22282240,3.822678528,3.999268864,6.779009024
4,22347776,3.825021952,3.978297344,6.782063616
4,22413312,3.824061952,3.957325824,6.782063616
4,22478848,3.822366208,3.978297344,6.782063616
4,22544384,3.820869632,3.976200192,6.782063616
4,22609920,3.824196608,3.978297344,6.782063616
4,22675456,3.824981504,3.999268864,6.782063616
4,22740992,3.822052352,3.978297344,6.782063616
4,22806528,3.82324992,3.955228672,6.782063616
4,22872064,3.825330688,4.020240384,6.782063616
4,22937600,3.823246848,3.957325824,6.782063616
4,23003136,3.823958528,3.999268864,6.782063616
4,23068672,3.822987776,3.978297344,6.782063616
4,23134208,3.823485952,3.978297344,6.782063616
4,23199744,3.826098688,3.978297344,6.782503424
4,23265280,3.823246848,3.959422976,6.782503424
