collected_frames,action/v_mean,action/v_std,action/w_mean,action/w_std,action/flipper_fl_mean,action/flipper_fl_std,action/flipper_fr_mean,action/flipper_fr_std,action/flipper_rl_mean,action/flipper_rl_std,action/flipper_rr_mean,action/flipper_rr_std,action/chunk_step_delta,action/chunk_step_delta_flipper,action/chunk_step_delta_max,action/loc_step_delta,action/loc_step_delta_flipper,action/loc_abs_mean,action/scale_mean,action/sat_frac_099,action/sat_frac_09,action/abs_mean
35651584,0.8360394239425659,0.2417031079530716,0.04947303608059883,0.6317853927612305,0.04715140163898468,0.6366791725158691,0.03187674656510353,0.6400344371795654,0.00663953460752964,0.6144543290138245,0.02080761268734932,0.6505986452102661,0.7025925517082214,0.7173706889152527,1.9977099895477295,0.06657012552022934,0.04740973189473152,0.1346108764410019,0.978430449962616,0.010412216186523438,0.15984098613262177,0.5679222345352173
36175872,0.835272490978241,0.2439461052417755,0.05231757462024689,0.63202965259552,0.05360892415046692,0.6372570991516113,0.038463346660137177,0.6397277116775513,0.002726074308156967,0.6171359419822693,0.018617454916238785,0.6519730091094971,0.702648937702179,0.7170921564102173,1.99778151512146,0.06968279182910919,0.05026138946413994,0.13816794753074646,0.9788755178451538,0.010534843429923058,0.16010960936546326,0.5683094263076782
36700160,0.8416099548339844,0.2364886999130249,0.05014432221651077,0.6326718926429749,0.05127089470624924,0.6375926733016968,0.04308933764696121,0.6380578875541687,0.0010770007502287626,0.6178147792816162,0.017117315903306007,0.6530199646949768,0.7020652294158936,0.7168636918067932,1.997861623764038,0.0697525218129158,0.050298016518354416,0.13977539539337158,0.9780938029289246,0.010528087615966797,0.1603918969631195,0.5682858824729919
37224448,0.8467785716056824,0.2299807220697403,0.045630037784576416,0.6364395022392273,0.054111577570438385,0.6393769383430481,0.046768348664045334,0.6358699798583984,0.011465303599834442,0.6168992519378662,0.023132948204874992,0.6532777547836304,0.7018182873725891,0.7163493633270264,1.9983831644058228,0.0713912770152092,0.051759202033281326,0.14190798997879028,0.9774681925773621,0.010596117004752159,0.16108998656272888,0.568665623664856
37748736,0.8487210273742676,0.2267760932445526,0.045114144682884216,0.6370675563812256,0.05440821871161461,0.6389815211296082,0.045435547828674316,0.6354541182518005,0.013883654028177261,0.6160092949867249,0.027840785682201385,0.6530349850654602,0.7016067504882812,0.7158412933349609,1.998192310333252,0.07148787379264832,0.05143961310386658,0.1435946822166443,0.9768189191818237,0.01063084602355957,0.16120664775371552,0.568897008895874
38273024,0.850517749786377,0.2253941148519516,0.04028315842151642,0.6393952369689941,0.05817649886012077,0.6421077847480774,0.05859199911355972,0.6357141733169556,0.017337560653686523,0.6141409277915955,0.030911682173609734,0.6558462977409363,0.7016642689704895,0.7154303193092346,1.9979047775268555,0.07281900942325592,0.05282092094421387,0.14602331817150116,0.9772896766662598,0.010725578293204308,0.16175827383995056,0.5691014528274536
38797312,0.8503806591033936,0.22570183873176575,0.03715462237596512,0.640764057636261,0.058353543281555176,0.6423813104629517,0.05261605978012085,0.635466456413269,0.011272570118308067,0.6135522723197937,0.026010897010564804,0.6554486751556396,0.7017391920089722,0.7155929803848267,1.997281551361084,0.07166638225317001,0.05166608840227127,0.14482063055038452,0.9781559705734253,0.010883808135986328,0.16170406341552734,0.569011390209198
39321600,0.8546414375305176,0.2219730168581009,0.040077440440654755,0.6422944068908691,0.05926123633980751,0.641395092010498,0.054025571793317795,0.6361901760101318,0.01186460629105568,0.6154455542564392,0.02498665079474449,0.6582728028297424,0.7015486359596252,0.7154550552368164,1.9972901344299316,0.07191983610391617,0.051554277539253235,0.1469270884990692,0.9784216284751892,0.010914723388850689,0.16271018981933594,0.569590151309967
39845888,0.8541703224182129,0.22185726463794708,0.03604910522699356,0.6385306119918823,0.06324359774589539,0.6411905884742737,0.06024666130542755,0.6347204446792603,0.013798534870147705,0.6120715737342834,0.025287117809057236,0.6580876708030701,0.701452374458313,0.7152458429336548,1.9967448711395264,0.07141852378845215,0.05099162459373474,0.14709030091762543,0.9774106740951538,0.010870695114135742,0.1622704714536667,0.5693038105964661
40370176,0.8532544374465942,0.22340835630893707,0.03918828070163727,0.6365980505943298,0.05884344130754471,0.6463912129402161,0.05566343665122986,0.6337173581123352,0.008424593135714531,0.6126779913902283,0.03238028660416603,0.6593261957168579,0.7015045881271362,0.7155112028121948,1.9980745315551758,0.07180134952068329,0.051320984959602356,0.14786125719547272,0.9781972765922546,0.011015256866812706,0.16252104938030243,0.5695956349372864
40894464,0.8588479161262512,0.21650147438049316,0.04249102994799614,0.635090172290802,0.05324890464544296,0.6478322148323059,0.05660960078239441,0.6340787410736084,-0.007097076624631882,0.6102909445762634,0.028499701991677284,0.6583828926086426,0.700801432132721,0.7150317430496216,1.9974501132965088,0.07203764468431473,0.051375433802604675,0.14821846783161163,0.9763028025627136,0.010872523300349712,0.16242115199565887,0.569300651550293
41418752,0.8608623743057251,0.21294845640659332,0.044191718101501465,0.6339390873908997,0.0571356937289238,0.6490386724472046,0.055358778685331345,0.6343622207641602,0.001444195513613522,0.6137029528617859,0.033781055361032486,0.6578021049499512,0.7007632851600647,0.7151601314544678,1.9983141422271729,0.0724506750702858,0.051438841968774796,0.14966124296188354,0.9764685034751892,0.010849952697753906,0.16289100050926208,0.5696209669113159
41943040,0.8583360910415649,0.21734470129013062,0.049067191779613495,0.6361766457557678,0.06311466544866562,0.6474841833114624,0.04783745855093002,0.634939432144165,-0.004170106258243322,0.6140115261077881,0.03981812298297882,0.6589949727058411,0.7011120915412903,0.7156538963317871,1.9981098175048828,0.07321120798587799,0.05214948207139969,0.15101030468940735,0.9764911532402039,0.010857343673706055,0.16270534694194794,0.569473147392273
42467328,0.861711323261261,0.21224699914455414,0.04685680568218231,0.6362195611000061,0.05931511148810387,0.6498682498931885,0.04309074208140373,0.6351592540740967,-0.005363754462450743,0.6133310794830322,0.03591281175613403,0.6553009152412415,0.7006948590278625,0.7155357599258423,1.9973845481872559,0.07229246944189072,0.05063224583864212,0.15018489956855774,0.9766919016838074,0.010958115570247173,0.1629382073879242,0.5694844126701355
42991616,0.856891393661499,0.2158840447664261,0.05134651064872742,0.6343759894371033,0.062183864414691925,0.6514948606491089,0.030068188905715942,0.6347874402999878,-0.004652740433812141,0.6114946603775024,0.03227639198303223,0.6529258489608765,0.7015430331230164,0.7160715460777283,1.9984710216522217,0.0732661709189415,0.05167004093527794,0.1482498198747635,0.9775036573410034,0.010829925537109375,0.16233167052268982,0.5693904161453247
43515904,0.8631937503814697,0.2103041559457779,0.04985904321074486,0.6343897581100464,0.05895400792360306,0.6507121920585632,0.033931851387023926,0.6356170773506165,0.008929199539124966,0.6141621470451355,0.040431659668684006,0.6549911499023438,0.7008948922157288,0.7157424092292786,1.9971890449523926,0.07339706271886826,0.0521535724401474,0.15083494782447815,0.9766026735305786,0.01096383761614561,0.1633129119873047,0.5698302984237671
44040192,0.8675311207771301,0.2030104398727417,0.0568062961101532,0.6309062838554382,0.051787614822387695,0.6515960097312927,0.03192135691642761,0.6347615718841553,0.013889800757169724,0.6122258305549622,0.03816961869597435,0.6560913324356079,0.7007107138633728,0.7157393097877502,1.9985649585723877,0.07292976975440979,0.051156580448150635,0.15095536410808563,0.9762128591537476,0.011004447937011719,0.1633901596069336,0.5697845220565796
44564480,0.8708250522613525,0.19989705085754395,0.05289478227496147,0.629334568977356,0.05260637402534485,0.6512773036956787,0.0347985103726387,0.6346457004547119,0.016276849433779716,0.6083265542984009,0.03664783388376236,0.6560681462287903,0.7004322409629822,0.7154580354690552,1.9978187084197998,0.07312633842229843,0.051318343728780746,0.15183717012405396,0.9748932719230652,0.010948101989924908,0.1632612645626068,0.5695348978042603
